Category,Priority,Use or References,Manufacturer,Manufacturer Part Number,DigiKey Part Number,Package or Specification,Quantity per Board,Extra Spares,Minimum Quantity for 5 Boards,Recommended Order Quantity,Reference Unit Price USD,Estimated Subtotal USD,Stock Snapshot,Stock Check Date,Procurement Notes,Source URL
Core BOM,Required,U1,Nisshinbo,R1218N041A-TR-FE,2129-R1218N041A-TR-FECT-ND,SOT-23-6,1,3,8,10,0.985,9.85,2948,2026-09-16,"Core device; ten pieces cover five boards plus rework and assembly loss",https://www.digikey.com/en/products/detail/nisshinbo-micro-devices-inc/R1218N041A-TR-FE/10244895
Core BOM,Required,L1,Bourns,SRN4018-220M,SRN4018-220MCT-ND,"22 uH, 900 mA, 4 x 4 mm",1,5,10,10,0.307,3.07,10405,2026-09-16,Matches the verified PCB footprint,https://www.digikey.com/en/products/detail/bourns-inc/SRN4018-220M/3821626
Core BOM,Required,C1,Murata,GRM21BR71A105KA01L,490-1695-1-ND,1 uF 10 V X7R 0805,1,15,20,50,0.0748,3.74,1243074,2026-09-16,"The 50-piece price break is useful; also suitable as general low-voltage decoupling stock",https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR71A105KA01L/587408
Core BOM,Required,C2,KEMET,C0805C224K5RACTU,399-C0805C224K5RACTUCT-ND,0.22 uF 50 V X7R 0805,1,15,20,50,0.1274,6.37,350064,2026-09-16,Retain the 50 V rating on the boost output,https://www.digikey.com/en/products/detail/kemet/C0805C224K5RACTU/754784
Connector,Required,J1/J2/J3/XP1,Samtec,TSM-102-01-S-SV,SAM10783-ND,1 x 2 2.54 mm SMT male header,4,10,30,50,0.42,21.00,1422,2026-09-16,"One part covers battery, stimulation, CE, and one RSET carrier per board; increase quantity if building multiple RSET carriers per board",https://www.digikey.com/en/products/detail/samtec-inc/TSM-102-01-S-SV/2685527
Connector,Required,XS1 RSET socket,Samtec,SSM-102-L-SV-K-TR,612-SSM-102-L-SV-K-TRCT-ND,1 x 2 2.54 mm SMT female socket,1,5,10,10,1.223,12.23,1103,2026-09-16,Board-side socket for exchangeable RSET carriers,https://www.digikey.com/en/products/detail/samtec-inc/SSM-102-L-SV-K-TR/15279639
Assembly Accessory,Required,J3 shunt,Samtec,SNT-100-BK-T,SAM8860-ND,2.54 mm open-top shunt,1,15,20,20,0.19,3.80,120494,2026-09-16,"Shorts VIN to CE; remove it for external CE control",https://www.digikey.com/en/products/detail/samtec-inc/SNT-100-BK-T/2345101
RSET,Required,R1 373 uA default for 143 mm2,Yageo,RC0805FR-07536RL,311-536CRCT-ND,536 ohm 1% 0805,1,20,25,25,0.0256,0.64,117040,2026-09-17,373 uA nominal on the removable RSET carrier,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07536RL/728026
RSET Option,Recommended,R1 301 uA,Yageo,RC0805FR-07665RL,311-665CRCT-ND,665 ohm 1% 0805,0,25,25,25,0.0256,0.64,73276,2026-09-17,301 uA nominal on the removable RSET carrier,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07665RL/728095
RSET Option,Recommended,R1 498 uA for 199 mm2,Yageo,RC0805FR-07402RL,311-402CRCT-ND,402 ohm 1% 0805,0,25,25,25,0.0256,0.64,49549,2026-09-17,498 uA nominal on the removable RSET carrier,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07402RL/730889
RSET Option,Recommended,R1 749 uA,Yageo,RC0805FR-07267RL,311-267CRCT-ND,267 ohm 1% 0805,0,25,25,25,0.0256,0.64,56422,2026-09-17,749 uA nominal on the removable RSET carrier,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07267RL/727777
RSET Option,Recommended,R1 1.00 mA,Yageo,RC0805FR-07200RL,311-200CRCT-ND,200 ohm 1% 0805,0,25,25,25,0.0256,0.64,84266,2026-09-17,1.00 mA nominal on the removable RSET carrier,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07200RL/730670
RSET Option,Recommended,R1 1.50 mA maximum setting,Yageo,RC0805FR-07133RL,311-133CRCT-ND,133 ohm 1% 0805,0,25,25,25,0.0256,0.64,64117,2026-09-17,1.50 mA nominal on the removable RSET carrier,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07133RL/727591
RSET Adjustable Option,Recommended,RT1 adjustable validation setting,Bourns,3223W-1-102E,3223W-1-102ECT-ND,1 kohm 20% 11-turn top-adjust SMD trimmer,0,2,2,5,3.93,19.65,12357,2026-09-17,"Use alone as a two-terminal rheostat with the wiper tied to one end; preset resistance with a meter before power-up",https://www.digikey.com/en/products/detail/bourns-inc/3223W-1-102E/568963
General Stock,Recommended,Configuration and jumpers,Yageo,RC0805JR-070RL,311-0.0ARCT-ND,0 ohm 0805,0,100,100,100,0.0108,1.08,2632686,2026-09-16,Commonly useful for configuration jumpers and debugging,https://www.digikey.com/en/products/detail/yageo/RC0805JR-070RL/728216
General Stock,Recommended,Current limiting and damping,Yageo,RC0805FR-07100RL,311-100CRCT-ND,100 ohm 1% 0805,0,100,100,100,0.0171,1.71,1604125,2026-09-16,Useful series damping and LED-current-limiting starting value,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07100RL/730490
General Stock,Recommended,General biasing,Yageo,RC0805FR-071KL,311-1.00KCRCT-ND,1 kohm 1% 0805,0,100,100,100,0.0171,1.71,Verify before ordering,2026-09-16,Common bias and gate or base resistance,https://www.digikey.com/en/products?keywords=RC0805FR-071KL
General Stock,Recommended,General pull-up and pull-down,Yageo,RC0805FR-0710KL,311-10.0KCRCT-ND,10 kohm 1% 0805,0,100,100,100,0.0171,1.71,2254497,2026-09-16,One of the most useful digital and analog bias values,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535
